Tamano;Tiempo binaria;comparacionesBinaria;Tiempo Secuencial;comparacionesSecuencial
10;1746;24;305;8
100;76181;2455;1183;70
1000;260185;248321;11995;764
10000;19407514;25008181;26420;7112
100000;1524926358;2500281104;16406;83585
