Tamano;Tiempo binaria;comparacionesBinaria;Tiempo Secuencial;comparacionesSecuencial
10;479;2;408;7
100;785;5;81763;70
1000;917;8;10639;669
10000;1934;12;30547;8252
100000;4309;15;14061;66962
